"|","|__gsrAvg","|__gsrResponse","|__gsrThreshold","|__hrAvg","|__hrv","|__rr","|__seconds","|__stChange","|__stThreshold"
"13:51:37","0.07579999999999978","0","0.07838999999999999","73","0.020624577034270678","0.896","721","0.18525000000002478","80.10474999999998"
"13:51:38","0.07639999999999979","-0.0028300000000001935","0.07922999999999998","73","0.020691109986814712","0.78","722","0.3552500000000123","80.10474999999998"
"13:51:39","0.0766999999999998","-0.002530000000000185","0.07922999999999998","72","0.020688201129448424","0.78","723","0.3552500000000123","80.10474999999998"
"13:51:40","0.0772999999999998","-0.0019300000000001816","0.07922999999999998","72","0.020777374520417214","0.896","724","0.3552500000000123","80.10474999999998"
"13:51:41","0.0772999999999998","-0.0019300000000001816","0.07922999999999998","72","0.020777374520417214","0.896","725","0.3552500000000123","80.10474999999998"
"13:51:42","0.07759999999999981","-0.001630000000000173","0.07922999999999998","72","0.020777374520417214","0.896","726","0.3552500000000123","80.10474999999998"
"13:51:43","0.0778999999999998","-0.0013300000000001783","0.07922999999999998","72","0.020785391178998122","0.929","727","0.3552500000000123","80.10474999999998"
"13:51:44","0.07819999999999981","-0.0010300000000001697","0.07922999999999998","72","0.020828987746142297","0.863","728","0.3552500000000123","80.10474999999998"
"13:51:45","0.0788199999999998","-0.000410000000000174","0.07922999999999998","72","0.02074303825347208","0.763","730","0.3552500000000123","80.10474999999998"
"13:51:46","0.0788199999999998","-0.000410000000000174","0.07922999999999998","72","0.02074303825347208","0.763","730","0.3552500000000123","80.10474999999998"
"13:51:47","0.07945999999999981","0.000229999999999828","0.07922999999999998","72","0.020667948574843567","0.763","731","0.3552500000000123","80.10474999999998"
"13:51:48","0.07945999999999981","0.000229999999999828","0.07922999999999998","72","0.020667948574843567","0.763","732","0.3552500000000123","80.10474999999998"
"13:51:49","0.0800999999999998","0.000869999999999815","0.07922999999999998","72","0.01979121551543788","0.796","733","0.3552500000000123","80.10474999999998"
"13:51:51","0.0804999999999998","0.001269999999999813","0.07922999999999998","72","0.018930350870756795","0.83","735","0.3552500000000123","80.10474999999998"
"13:51:52","0.08069999999999979","0.0014699999999998048","0.07922999999999998","73","0.017676273520296867","0.83","736","0.3552500000000123","80.10474999999998"
"13:51:53","0.08069999999999979","0.0014699999999998048","0.07922999999999998","73","0.017676273520296867","0.83","738","0.3552500000000123","80.10474999999998"
"13:51:54","0.08089999999999979","0.0016699999999998105","0.07922999999999998","73","0.017677062838716028","0.796","739","0.3552500000000123","80.10474999999998"
"13:51:55","0.08131999999999978","0.0020899999999998004","0.07922999999999998","72","0.017698914143224425","0.73","740","0.3552500000000123","80.10474999999998"
"13:51:56","0.08153999999999978","0.0023099999999997983","0.07922999999999998","72","0.01770231420925474","0.747","741","0.3552500000000123","80.10474999999998"
"13:51:57","0.08175999999999979","0.00252999999999981","0.07922999999999998","72","0.017741479643996742","0.68","742","0.3552500000000123","80.10474999999998"
"13:51:58","0.08175999999999979","0.00252999999999981","0.07922999999999998","72","0.017741479643996742","0.68","743","0.3552500000000123","80.10474999999998"
"13:51:59","0.08219999999999979","0.002969999999999806","0.07922999999999998","72","0.017025093565443922","0.73","744","0.3552500000000123","80.10474999999998"
"13:52:0","0.08219999999999979","0.002969999999999806","0.07922999999999998","72","0.017025093565443922","0.73","745","0.3552500000000123","80.10474999999998"
"13:52:1","0.08343999999999982","0.004209999999999839","0.07922999999999998","73","0.016208681812456542","0.713","746","0.3552500000000123","80.10474999999998"
"13:52:10","0.08821999999999983","0.008989999999999845","0.07922999999999998","73","0.006374603400457124","0.747","754","0.42525000000001967","80.10474999999998"
"13:52:11","0.08821999999999983","0.008989999999999845","0.07922999999999998","73","0.006374603400457124","0.747","756","0.42525000000001967","80.10474999999998"
"13:52:12","0.08825999999999981","0.00902999999999983","0.07922999999999998","73","0.005863326040160806","0.78","756","0.42525000000001967","80.10474999999998"
"13:52:13","0.0882799999999998","0.009049999999999822","0.07922999999999998","73","0.005777420899781131","0.78","757","0.42525000000001967","80.10474999999998"
"13:52:14","0.08829999999999978","0.0090699999999998","0.07922999999999998","73","0.006398081240901928","0.63","758","0.42525000000001967","80.10474999999998"
"13:52:15","0.0888999999999998","0.009669999999999818","0.07922999999999998","73","0.006337383712532067","0.68","759","0.42525000000001967","80.10474999999998"
"13:52:16","0.0888999999999998","0.009669999999999818","0.07922999999999998","73","0.006337383712532067","0.68","760","0.42525000000001967","80.10474999999998"
"13:52:17","0.0900999999999998","0.010869999999999824","0.07922999999999998","73","0.006347955821131612","0.78","761","0.42525000000001967","80.10474999999998"
"13:52:18","0.0900999999999998","0.010869999999999824","0.07922999999999998","73","0.006347955821131612","0.78","762","0.42525000000001967","80.10474999999998"
"13:52:19","0.09069999999999981","0.011469999999999828","0.07922999999999998","74","0.0063216571090773345","0.763","763","0.42525000000001967","80.10474999999998"
"13:52:2","0.08343999999999982","0.004209999999999839","0.07922999999999998","73","0.016208681812456542","0.713","746","0.3552500000000123","80.10474999999998"
"13:52:20","0.09219999999999981","0.012969999999999829","0.07922999999999998","74","0.006304801393890993","0.763","764","0.42525000000001967","80.10474999999998"
"13:52:21","0.09309999999999981","0.013869999999999827","0.07922999999999998","75","0.006313251369709815","0.747","765","0.42525000000001967","80.10474999999998"
"13:52:22","0.0939999999999998","0.014769999999999825","0.07922999999999998","75","0.00635962378294173","0.697","766","0.42525000000001967","80.10474999999998"
"13:52:23","0.0948999999999998","0.015669999999999823","0.07922999999999998","75","0.0075137802044820375","0.498","767","0.42525000000001967","80.10474999999998"
"13:52:24","0.0948999999999998","0.015669999999999823","0.07922999999999998","75","0.0075137802044820375","0.498","768","0.42525000000001967","80.10474999999998"
"13:52:25","0.0967199999999998","0.017489999999999825","0.07922999999999998","76","0.011198336878958584","0.713","770","0.42525000000001967","80.10474999999998"
"13:52:26","0.09763999999999981","0.01840999999999983","0.07922999999999998","76","0.011178067267573616","0.713","770","0.42525000000001967","80.10474999999998"
"13:52:27","0.09855999999999981","0.019329999999999833","0.07922999999999998","76","0.011182835511583531","0.697","771","0.42525000000001967","80.10474999999998"
"13:52:28","0.09855999999999981","0.019329999999999833","0.07922999999999998","76","0.011182835511583531","0.697","772","0.42525000000001967","80.10474999999998"
"13:52:29","0.09947999999999983","0.02024999999999985","0.07922999999999998","76","0.011261386481662878","0.63","773","0.42525000000001967","80.10474999999998"
"13:52:3","0.08467999999999984","0.005449999999999858","0.07922999999999998","73","0.016142302423452357","0.73","747","0.3552500000000123","80.10474999999998"
"13:52:30","0.10133999999999982","0.022109999999999838","0.07922999999999998","77","0.01110080275209596","0.68","774","0.42525000000001967","80.10474999999998"
"13:52:31","0.10227999999999982","0.023049999999999835","0.07922999999999998","77","0.011080354720165686","0.68","775","0.42525000000001967","80.10474999999998"
"13:52:32","0.10227999999999982","0.023049999999999835","0.07922999999999998","77","0.011080354720165686","0.68","776","0.42525000000001967","80.10474999999998"
"13:52:33","0.10415999999999981","0.024929999999999827","0.07922999999999998","78","0.01099818242527942","0.747","777","0.42525000000001967","80.10474999999998"
"13:52:34","0.1050999999999998","0.025869999999999824","0.07922999999999998","78","0.01099818242527942","0.78","778","0.42525000000001967","80.10474999999998"
"13:52:35","0.1050999999999998","0.025869999999999824","0.07922999999999998","78","0.01099818242527942","0.78","779","0.42525000000001967","80.10474999999998"
"13:52:36","0.10605999999999981","0.026829999999999826","0.07922999999999998","78","0.010998182425279418","0.796","780","0.42525000000001967","80.10474999999998"
"13:52:37","0.10701999999999981","0.02778999999999983","0.07922999999999998","78","0.01099818242527942","0.78","781","0.42525000000001967","80.10474999999998"
"13:52:38","0.1079799999999998","0.028749999999999817","0.07922999999999998","78","0.011003028623995218","0.796","782","0.4552500000000208","80.10474999999998"
"13:52:39","0.1098999999999998","0.030669999999999822","0.07922999999999998","78","0.011003028623995218","0.78","783","0.4552500000000208","80.10474999999998"
"13:52:4","0.08529999999999985","0.006069999999999867","0.07922999999999998","73","0.016131978583791423","0.747","748","0.3552500000000123","80.10474999999998"
"13:52:40","0.1108599999999998","0.031629999999999825","0.07922999999999998","78","0.01108223398225666","0.713","784","0.4552500000000208","80.10474999999998"
"13:52:41","0.11181999999999981","0.03258999999999983","0.07922999999999998","79","0.011129112402035608","0.763","785","0.4552500000000208","80.10474999999998"
"13:52:42","0.11181999999999981","0.03258999999999983","0.07922999999999998","79","0.011129112402035608","0.763","786","0.4552500000000208","80.10474999999998"
"13:52:43","0.11277999999999981","0.03354999999999983","0.07922999999999998","79","0.011127858635765282","0.796","787","0.4552500000000208","80.10474999999998"
"13:52:44","0.11469999999999982","0.035469999999999835","0.07922999999999998","79","0.011056931164681637","0.796","788","0.4552500000000208","80.10474999999998"
"13:52:45","0.11565999999999979","0.03642999999999981","0.07922999999999998","79","0.011180544773149764","0.713","789","0.4552500000000208","80.10474999999998"
"13:52:46","0.11565999999999979","0.03642999999999981","0.07922999999999998","79","0.011180544773149764","0.713","790","0.4552500000000208","80.10474999999998"
"13:52:47","0.11661999999999978","0.0373899999999998","0.07922999999999998","79","0.011350608714987477","0.83","791","0.4552500000000208","80.10474999999998"
"13:52:48","0.11853999999999974","0.03930999999999976","0.07922999999999998","79","0.01137646649905694","0.763","792","0.4552500000000208","80.10474999999998"
"13:52:49","0.11853999999999974","0.03930999999999976","0.07922999999999998","79","0.01137646649905694","0.763","793","0.4552500000000208","80.10474999999998"
"13:52:5","0.08529999999999985","0.006069999999999867","0.07922999999999998","73","0.016131978583791423","0.747","749","0.3552500000000123","80.10474999999998"
"13:52:50","0.11949999999999973","0.04026999999999975","0.07922999999999998","79","0.011361813037621864","0.78","794","0.4552500000000208","80.10474999999998"
"13:52:51","0.1216599999999997","0.04242999999999972","0.07922999999999998","78","0.011382359192686589","0.796","795","0.4552500000000208","80.10474999999998"
"13:52:52","0.12273999999999968","0.0435099999999997","0.07922999999999998","78","0.011422739036546482","0.846","796","0.4552500000000208","80.10474999999998"
"13:52:53","0.12381999999999968","0.0445899999999997","0.07922999999999998","78","0.011422137401722295","0.83","797","0.4552500000000208","80.10474999999998"
"13:52:54","0.12489999999999966","0.04566999999999968","0.07922999999999998","78","0.011503688994179308","0.763","798","0.4552500000000208","80.10474999999998"
"13:52:55","0.12573999999999966","0.04650999999999968","0.07922999999999998","78","0.011499053797337809","0.763","799","0.4552500000000208","80.10474999999998"
"13:52:56","0.12657999999999967","0.047349999999999684","0.07922999999999998","78","0.011499651408077054","0.78","800","0.4552500000000208","80.10474999999998"
"13:52:57","0.12741999999999964","0.048189999999999664","0.07922999999999998","78","0.011420496418383731","0.78","801","0.4552500000000208","80.10474999999998"
"13:52:58","0.12825999999999965","0.04902999999999967","0.07922999999999998","78","0.01129889992544397","0.796","802","0.4552500000000208","80.10474999999998"
"13:52:59","0.12909999999999966","0.04986999999999968","0.07922999999999998","78","0.011298291696180369","0.78","803","0.4552500000000208","80.10474999999998"
